"UB-6041 (CasD182)","UB-6038 (CasD183)","UB-4960 (BuD391B)","UB-4959 (BuD391A)","UB-4511 (EH090)","UB-4512 (EH091)","MelSG077","UB-4885 (MelSG078)","UB-4884 (MelSG079)","UB-4882 (MelSG080)","UB-6476 (BuD339)","UB-4734 (MH105c)","UB-4732 (MH094)","UB-4890 (MelSG075)","UB-4728 (MH064)","UB-4733 (MH095)","UB-6473 (BuD250)","UB-4735 (Ber022)","UB-4739 (Ber134/1)","UB-4836 (WG27)","UB-6472 (BuD222)","UB-6037 (CasD134)","UB-4888 (MelSG089)","UB-6040 (CasD053)","UB-4707 (EH079)","UB-6035 (CasD096)","UB-4975 (AstCli12)","UB-4984 (Lec018)","UB-4835 (ApD134)","UB-4729 (MH068)","UB-6034 (CasD120)","UB-4705 (WHes123)","UB-6033 (WHes113)","UB-4709 (EH014)","UB-4708 (EH083)","UB-5208 (ApD107)","UB-4077 (But4275)","UB-4965 (ApD117)","UB-4889 (MelSG069)","UB-4963 (SPTip208)","UB-6032 (SPTip073)","UB-6036 (CasD013)","UB-4887 (MelSG082)","UB-4964 (Cod30)","UB-4883 (MelSG095)","UB-4042 (But1674)","UB-4552 (MaDE3)","UB-4507 (Lec187)","UB-4706 (WHes118)","UB-4502 (Lec138)","UB-4504 (Lec179)","UB-4910 (BloodH22)","UB-4506 (Lec172/2)","MaDE1 & E2","UB-4554 (MaDF2)","UB-4549 (MaDC7)","UB-4553 (MaDD10)","UB-6042 (CasD088)","UB-4501 (Lec014)","UB-4503 (Lec148)","SUERC-51539 (ERL G353)","SUERC-51548 (ERL G210)","SUERC-51553 (ERL G116)","SUERC-39108 ERLK G322","SUERC-39109 ERL G362","SUERC-39112 ERL G405","SUERC-51560 ERL G038","SUERC-39091 (ERL G003)","SUERC-39092 (ERL G005)","SUERC-39113 (ERL G417)","SUERC-51549 (ERL G195)","SUERC-51543 (ERL G281)","SUERC-51551 (ERL G193)","SUERC-51552 (ERL G107)","SUERC-39100 (ERL G266)","SUERC-51550 (ERL G254)","SUERC-39096 (ERL G112)"
564.41,614.136,529.317,620.459,594.318,663.49,570.727,592.569,652.304,658.366,535.902,518.957,551.62,518.885,555.728,520.196,541.961,519.773,542.023,536.794,554.952,548.313,546.35,549.268,544.991,588.968,574.732,564.996,566.018,577.066,572.233,576.859,597.615,548.082,564.015,573.078,593.176,581.147,647.709,630.828,643.902,626.598,637.816,644.015,590.448,623.116,663.843,643.213,642.897,653.705,651.2,650.702,661.576,655.93,664.293,673.428,666.048,669.949,660.164,665.415,600.04,673.734,669.059,537.54,532.974,541.952,554.579,522.272,516.988,562.981,586.424,590.134,603.552,636.89,588.439,638.982,586.559
563.965,634.86,515.705,631.799,564.543,664.629,571.382,577.232,644.431,656.213,538.85,522.222,561.487,555.459,573.12,521.437,543.368,532.181,529.881,520.658,572.525,534.386,545.979,548.555,560.713,549.214,534.824,571.44,561.746,590.102,579.593,576.481,591.716,563.507,577.456,596.929,583.937,602.02,629.819,606.178,646.926,633.542,617.106,652.434,643.808,654.962,654.387,617.682,651.363,626.712,637.991,661.579,657.771,662.064,669.452,671.545,670.904,667.821,664.138,668.383,596.152,656.996,648.769,534.638,522.008,540.652,519.486,527.787,514.979,560.274,589.427,626.943,629.886,641.098,610.819,598.848,625.059
552.548,629.21,523.998,584.527,548.582,653.089,570.34,586.011,600.894,651.817,535.084,516.097,552.274,549.455,567.224,527.659,522.832,514.217,543.988,569.779,535.564,554.806,548.169,551.7,561.574,567.722,547.981,567.963,557.209,572.672,563.945,583.59,555.469,580.247,572.782,582.535,572.218,598.617,582.032,621.627,629.091,634.706,626.961,643.055,641.631,639.876,650.019,641.951,642.583,653.305,619.343,658.337,651.419,658.269,666.453,661.883,663.608,665.275,659.199,666.138,622.437,659.709,654.195,518.372,538.017,530.764,559.357,522.358,511.201,575.093,612.11,594.197,648.378,643.945,583.269,602.834,607.067
569.779,615.213,539.589,652.848,584.918,668.415,560.044,570.689,651.957,659.57,533.707,514.707,554.19,543.759,582.262,512.277,548.526,533.983,538.58,541.599,516.208,547.496,550.473,568.215,541.295,560.119,562.906,557.432,625.946,574.594,571.149,552.021,572.753,558.53,573.175,580.59,612.891,617.299,625.735,585.168,651.066,642.927,631.771,639.819,648.912,633.85,664.201,646.806,619.943,636.165,655.696,659.868,659.671,666.853,663.112,659.735,661.402,668.31,652.662,665.186,609.367,667.008,662.766,541.155,548.374,514.418,542.736,516.944,530.857,555.279,588.534,575.023,607.519,612.998,599.434,656.191,602.842
604.381,612.623,516.912,599.699,566.384,653.092,567.011,611.607,648.632,655.396,547.995,529.97,558.661,542.995,590.303,526.728,534.795,542.998,537.809,537.943,546.413,541.256,547.18,551.879,547.675,571.073,567.572,570.496,556.548,595.338,591.324,578.837,583.793,594.414,590.287,599.527,618.428,598.137,597.692,617.26,626.198,637.075,626.622,642.188,645.126,634.601,665.482,650.628,579.035,635.836,653.406,654.018,654.225,664.283,653.446,659.311,665.788,665.763,655.963,667.304,626.291,663.47,662.179,529.756,540.339,534.809,540.126,540.112,522.518,549.421,609.188,633.564,615.77,614.78,584.106,631.843,591.31
550.208,589.968,525.234,632.383,601.797,665.524,551.068,623.291,644.902,658.793,533.682,526.953,531.743,528.284,557.098,530.49,537.756,542.315,570.323,542.139,558.705,545.303,550.535,541.68,584.182,553.463,559.214,568.257,578.78,590.051,569.936,560.393,586.27,618.226,588.631,569.968,602.541,624.309,580.426,608.203,624.388,633.017,637.025,649.267,639.16,650.132,653.657,617.269,648.533,648.764,658.155,647.475,655.594,656.304,659.938,659.553,666.934,667.727,664.546,660.843,619.622,658.375,661.921,537.758,529.607,537.245,548.561,527.678,543.927,604.624,600.086,592.813,616.542,629.756,569.016,643.624,617.28
581.586,620.248,526.2,643.185,556.23,656.134,585.362,623.76,637.015,648.544,522.378,543.77,542.12,551.891,568.164,527.099,537.114,541.123,553.576,563.746,553.33,562.719,561.736,546.492,541.171,552.31,557.029,567.109,586.659,588.347,563.853,592.949,595.672,573.847,554.287,589.401,601.569,597.44,615.752,623.7,619.051,618.098,614.881,644.517,629.153,600.944,652.173,632.175,636.056,612.596,666.839,662.472,656.072,665.102,662.893,661.042,667.636,667.091,665.6,662.853,634.761,662.38,652.686,533.287,538.964,541.166,533.375,522.816,542.13,558.452,638.897,564.456,630.881,622.202,619.03,657.017,608.214
596.688,606.646,521.593,630.201,571.019,662.327,595.453,606.599,639.911,656.092,534.39,521.261,521.438,567.018,570.308,528.077,533.186,550.037,538.916,536.176,561.405,534.505,542.091,548.875,593.928,573.631,557.26,562.155,576.236,554.448,584.655,558.587,604.761,583.357,599.808,569.696,574.079,597.029,580.576,616.657,634.215,650.461,614.784,630.295,641.358,636.942,652.571,641.52,654.668,657.235,652.362,662.061,652.983,672.283,664.926,653.574,663.362,665.01,672.159,663.889,642.431,655.599,654.921,520.35,536.222,544.047,544.005,533.661,554.224,579.083,576.518,612.759,621.781,600.3,560.526,629.928,643.252
565.24,597.574,523.22,598.231,556.99,669.723,571.156,604.749,646.099,656.922,533.778,536.433,519.025,562.964,579.625,518.372,534.956,570.188,517.53,542.241,539.831,542.015,550.964,566.314,542.253,565.323,593.507,559.796,572.974,570.224,567.434,570.029,597.12,567.06,588.921,599.572,587.91,573.313,596.576,591.538,641.624,629.898,655.144,630.054,645.467,642.094,656.274,639.296,623.868,647.169,663.044,658.24,657.878,664.884,657.614,668.714,666.334,665.821,665.013,660.609,579.333,660.981,656.084,540.226,520.3,530.181,548.609,531.013,541.431,547.421,575.909,584.587,596.851,644.931,567.971,637.068,605.759
551.628,570.338,538.208,628.956,594.679,655.03,560.67,593.148,621.802,665.033,547.251,530.174,548.072,566.183,577.577,532.723,532.938,548.036,549.689,541.415,542.62,542.927,563.761,565.04,570.133,561.889,555.088,571.073,589.825,610.824,578.387,576.357,599.591,585.774,569.124,568.168,613.893,570.217,624.164,642.954,610.881,654.58,576.391,648.254,649.542,618.819,636.389,615.608,661.436,633.326,647.685,654.529,654.629,657.39,663.991,668.618,665.122,668.459,666.696,663.535,617.891,657.277,664.908,537.945,541.67,542.104,548.29,531.599,537.374,560.28,569.267,587.518,637.669,652.211,613.903,643.298,605.276
